id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16244643,Home in Apollo Bay · ★4.64 · 4 bedrooms · 4 beds · 2 baths,129562,Cindy,,Colac Otway,-38.74464,143.66857,Entire home/apt,488,2,44,2023-06-12,0.52,47,352,6,
16257828,Home in Geelong · ★4.66 · 2 bedrooms · 2 beds · 1 bath,106309637,Bree,,Greater Geelong,-38.14772,144.36739,Entire home/apt,139,1,413,2023-12-11,4.88,1,2,56,
16260335,Rental unit in Port Fairy · ★4.84 · 1 bedroom · 1 bed · 1 bath,14064376,Berni,,Moyne,-38.38859,142.24075,Entire home/apt,525,1,25,2023-01-14,0.29,2,52,1,
16260646,Cottage in Port Fairy · ★4.78 · 2 bedrooms · 2 beds · 2 baths,14064376,Berni,,Moyne,-38.38859,142.24075,Entire home/apt,554,1,23,2023-09-10,0.27,2,55,6,
16275961,Rental unit in Port Fairy · ★4.54 · 1 bedroom · 1 bed · 1.5 baths,14960190,Chris,,Moyne,-38.39121,142.22174,Entire home/apt,95,2,54,2022-05-23,1.10,1,262,0,
16278667,Townhouse in Torquay · ★4.68 · 2 bedrooms · 3 beds · 1 bath,19210105,Denise,,Surf Coast,-38.32417,144.32805,Entire home/apt,369,1,154,2023-12-17,1.86,3,251,34,
16289154,Home in Port Campbell · ★4.88 · 3 bedrooms · 6 beds · 2 baths,105976136,Smiley,,Corangamite,-38.61099,143.00087,Entire home/apt,700,1,128,2023-11-06,1.50,5,333,32,
16290507,Rental unit in Point Lonsdale · ★4.91 · 1 bedroom · 1 bed · 1 bath,106569362,Margaret,,Queenscliffe,-38.27072,144.62391,Entire home/apt,118,2,318,2023-12-04,3.72,1,87,20,
16303065,Home in Ocean Grove · ★4.50 · 4 bedrooms · 7 beds · 2 baths,29902659,Debbie Regional Escapes,,Greater Geelong,-38.27048,144.51563,Entire home/apt,679,2,4,2023-03-04,0.07,123,341,1,
16306940,Townhouse in Ocean Grove · ★4.96 · 3 bedrooms · 4 beds · 2 baths,50264189,Phillip And Susan,,Greater Geelong,-38.27086,144.51509,Entire home/apt,693,2,28,2023-01-16,0.33,1,204,2,
16314923,Home in Wye River · ★4.70 · 3 bedrooms · 4 beds · 1 bath,22936557,John,,Colac Otway,-38.6318,143.8933,Entire home/apt,500,3,20,2022-12-25,0.33,1,298,0,
16335820,Cabin in Forrest · ★4.76 · 3 bedrooms · 4 beds · 1 bath,18494898,Carolyn,,Colac Otway,-38.51643,143.71473,Entire home/apt,206,1,155,2023-12-09,1.81,8,294,21,
16336146,Cabin in Forrest · ★4.95 · 6 bedrooms · 8 beds · 2 baths,18494898,Carolyn,,Colac Otway,-38.51517,143.71495,Entire home/apt,390,1,21,2023-03-12,0.26,8,288,1,
16355978,Rental unit in Apollo Bay · ★4.64 · 2 bedrooms · 4 beds · 1 bath,107105906,Noel,,Colac Otway,-38.75263,143.66819,Entire home/apt,230,2,287,2023-12-18,3.37,1,46,24,
16357947,Home in Anglesea · ★4.89 · 5 bedrooms · 12 beds · 3.5 baths,105533999,Greg,,Surf Coast,-38.41648,144.1724,Entire home/apt,332,6,28,2023-11-08,0.34,1,149,6,
16369010,Guest suite in Jan Juc · ★4.83 · 1 bedroom · 1 bed · 1 bath,8339205,Eve,,Surf Coast,-38.34215,144.29948,Entire home/apt,242,2,729,2023-12-11,8.57,18,336,88,
16382147,Guest suite in Anglesea · ★4.94 · 1 bedroom · 1 bed · 1 bath,6494663,Sonia,,Surf Coast,-38.42022,144.17257,Entire home/apt,315,5,166,2021-09-20,1.95,1,84,0,
16382805,Home in Barwon Heads · 4 bedrooms · 6 beds · 2 baths,107312989,Bryan,,Greater Geelong,-38.28005,144.48922,Entire home/apt,350,7,1,2017-01-27,0.01,1,344,0,
16394577,Guest suite in Torquay · ★4.99 · 1 bedroom · 1 bed · 1 bath,1472553,Rebekah,,Surf Coast,-38.30671,144.34397,Entire home/apt,159,3,119,2023-12-09,1.57,1,39,12,
16406251,Serviced apartment in Apollo Bay · ★4.88 · 2 bedrooms · 2 beds · 1 private bath,18908758,Michelle,,Colac Otway,-38.75339,143.66866,Hotel room,550,1,478,2023-12-17,5.65,5,287,85,
16407463,Home in Clifton Springs · ★4.65 · 2 bedrooms · 2 beds · 1 bath,25966941,Garry,,Greater Geelong,-38.14542,144.5756,Entire home/apt,200,5,17,2023-01-23,0.20,1,81,1,
16408941,Townhouse in Torquay · ★4.95 · 2 bedrooms · 2 beds · 1 bath,45934951,Faye,,Surf Coast,-38.33504,144.31656,Entire home/apt,258,180,59,2023-03-24,0.69,1,144,5,
